id,texto,tipo
1,"Hay un accidente fuerte en la carretera 57.","accidente"
2,"Dos coches chocaron en la avenida México.","accidente"
3,"Se reporta un choque múltiple cerca del puente.","accidente"
4,"Un taxi se impactó contra un poste en el centro.","accidente"
5,"Hay un motociclista tirado por un accidente.","accidente"
6,"Un carro se volteó en la curva cerca del hospital.","accidente"
7,"Choque entre autobús y camioneta en la autopista.","accidente"
8,"Vehículos involucrados en accidente en semáforo rojo.","accidente"
9,"Colisión por alcance en la fila del tráfico.","accidente"
10,"Auto impactado en la parte trasera en Bernardo Quintana.","accidente"
11,"Choque leve, pero afecta el tránsito.","accidente"
12,"Carro derrapó por lluvia y chocó con el muro.","accidente"
13,"Pequeño accidente en glorieta, tráfico lento.","accidente"
14,"Mercedes chocado a mitad de la avenida.","accidente"
15,"Accidente con lesionados cerca del mercado.","accidente"
16,"Hay un bache enorme en la colonia Banthi.","bache"
17,"Se abrió otro bache profundo en avenida Juárez.","bache"
18,"Mi llanta casi se revienta por un bache.","bache"
19,"Muchos baches en la calle principal.","bache"
20,"Bache peligroso en la esquina de la secundaria.","bache"
21,"La calle está llena de hoyos, imposible pasar.","bache"
22,"Bache que causa daños a coches en San Cayetano.","bache"
23,"Auto se atoró en un bache con agua.","bache"
24,"Reportan hundimiento tipo bache en carril derecho.","bache"
25,"Hay un bache que no han reparado en semanas.","bache"
26,"Bache nuevo apareció después de las lluvias.","bache"
27,"Bache enorme, parece cráter lunar.","bache"
28,"Camioneta cayó en un bache profundo.","bache"
29,"Se formó otro bache en zona industrial.","bache"
30,"El bache está afectando la circulación.","bache"
31,"Mucho tráfico en la carretera hacia Querétaro.","trafico"
32,"El tráfico está parado por la obra.","trafico"
33,"Filas largas de autos en la autopista.","trafico"
34,"Tráfico lento entre Banthi y la salida.","trafico"
35,"Retención vehicular por exceso de autos.","trafico"
36,"Atascado en tráfico desde hace media hora.","trafico"
37,"Tráfico horrible en el centro hoy.","trafico"
38,"Congestión vehicular en todos los carriles.","trafico"
39,"Tráfico por choque leve.","trafico"
40,"Tráfico pesado por evento en centro.","trafico"
41,"Mucho tráfico por cierre de calle.","trafico"
42,"El tráfico no avanza, totalmente detenido.","trafico"
43,"Cola de autos hasta el puente.","trafico"
44,"Tráfico cargado por semáforo descoordinado.","trafico"
45,"Línea interminable de coches.","trafico"
46,"El semáforo no funciona en la esquina principal.","semaforo"
47,"Semáforo apagado desde temprano en avenida Juárez.","semaforo"
48,"Semáforo parpadeando en amarillo todo el día.","semaforo"
49,"El semáforo está descompuesto y causa caos.","semaforo"
50,"Semáforo apagado por lluvia.","semaforo"
51,"Semáforo sin sincronización correcta.","semaforo"
52,"Semáforo atorado en verde, peligroso.","semaforo"
53,"Semáforo sin luz en carril izquierdo.","semaforo"
54,"Semáforo se quedó trabado en rojo.","semaforo"
55,"Ningún semáforo funciona en el cruce.","semaforo"
56,"Semáforo dañado después del choque.","semaforo"
57,"Semáforo apagado provoca tráfico.","semaforo"
58,"El semáforo no cambia de luz.","semaforo"
59,"Semáforo sin mantenimiento, no sirve.","semaforo"
60,"Semáforo intermitente afecta circulación.","semaforo"
61,"Personas bloquean la carretera por protesta.","bloqueo"
62,"Hay un bloqueo en la entrada de la ciudad.","bloqueo"
63,"Manifestantes cerraron el paso en avenida central.","bloqueo"
64,"Bloqueo total en la autopista.","bloqueo"
65,"Bloqueo por accidente, nadie avanza.","bloqueo"
66,"Vecinos bloquearon el cruce principal.","bloqueo"
67,"Bloqueo parcial por obras.","bloqueo"
68,"Camiones atravesados bloquean la calle.","bloqueo"
69,"Bloqueo por inundación.","bloqueo"
70,"Carretera cerrada temporalmente.","bloqueo"
71,"Bloqueo por evento deportivo.","bloqueo"
72,"Bloqueo por desfile en la zona centro.","bloqueo"
73,"Bloqueo total, tránsito detenido.","bloqueo"
74,"Camiones bloquean paso hacia terminal.","bloqueo"
75,"Cierre de calle por reparación de alcantarilla.","bloqueo"
76,"Un conductor se bajó a pelear con otro.","agresion"
77,"Hubo agresión verbal entre choferes.","agresion"
78,"Un motociclista golpeó el retrovisor de otro coche.","agresion"
79,"Chofer manejó agresivo e insultó a un peatón.","agresion"
80,"Conductor agresivo aventó el coche.","agresion"
81,"Pelea entre automovilistas en el cruce.","agresion"
82,"Persona golpeó el parabrisas de otro carro.","agresion"
83,"Agresión física reportada en avenida principal.","agresion"
84,"Chofer amenazó a otro conductor.","agresion"
85,"Conductor aventó su coche con intención.","agresion"
86,"Agresión vial que casi termina en choque.","agresion"
87,"Se reporta conducta agresiva en el tránsito.","agresion"
88,"Un chofer aventó el coche para cerrar el paso.","agresion"
89,"Discusión fuerte entre automovilistas.","agresion"
90,"Actitud violenta en la carretera.","agresion"

